date,total_users,users_joined,users_left
2026-02-25,4,4,0
2026-03-10,5,1,0
2026-03-13,6,1,0
2026-03-15,8,2,0
2026-03-16,11,3,0
2026-03-17,14,3,0
2026-03-18,22,8,0
2026-03-19,30,8,0
2026-03-20,43,13,0
2026-03-21,73,30,0
2026-03-22,100,27,0
2026-03-23,123,23,0
2026-03-24,136,13,0
2026-03-25,152,16,0
2026-03-26,164,12,0
2026-03-27,173,9,0
2026-03-28,188,15,0
2026-03-29,201,13,0
2026-03-30,212,11,0
2026-03-31,223,11,0
2026-04-01,234,11,0
2026-04-02,249,15,0
2026-04-03,262,13,0
2026-04-04,270,8,0
2026-04-05,289,19,0
2026-04-06,302,13,0
2026-04-07,323,21,0
2026-04-08,330,7,0
2026-04-09,358,28,0
2026-04-10,371,13,0
2026-04-11,398,27,0
2026-04-12,412,14,0
2026-04-13,427,15,0
2026-04-14,441,14,0
