date_or_hour,metric,visits
2026-04-16,AppleBot,1
2026-04-16,BingBot,7
2026-04-16,Chrome,75
2026-04-16,ChromeMobile,12
2026-04-16,Edge,23
2026-04-16,Firefox,44
2026-04-16,GoogleBot,35
2026-04-16,MobileSafari,9
2026-04-16,Opera,6
2026-04-16,Safari,17
2026-04-16,SamsungInternet,3
2026-04-16,Unknown,48
2026-04-17,AppleBot,13
2026-04-17,BingBot,18
2026-04-17,Chrome,244
2026-04-17,ChromeHeadless,11
2026-04-17,ChromeMobile,32
2026-04-17,ChromeMobileWebview,1
2026-04-17,Curl,9
2026-04-17,Edge,44
2026-04-17,Firefox,60
2026-04-17,FirefoxMobile,3
2026-04-17,GoogleBot,101
2026-04-17,MobileSafari,27
2026-04-17,Opera,14
2026-04-17,Safari,70
2026-04-17,SamsungInternet,5
2026-04-17,Unknown,233
2026-04-17,YandexBot,2
2026-04-18,AppleBot,20
2026-04-18,BingBot,16
2026-04-18,Chrome,215
2026-04-18,ChromeMobile,31
2026-04-18,Edge,35
2026-04-18,Firefox,123
2026-04-18,FirefoxMobile,2
2026-04-18,GoogleBot,47
2026-04-18,MobileSafari,55
2026-04-18,MobileSafariWebview,1
2026-04-18,Opera,13
2026-04-18,Safari,55
2026-04-18,Unknown,334
2026-04-19,AppleBot,48
2026-04-19,BingBot,13
2026-04-19,Chrome,264
2026-04-19,ChromeMobile,35
2026-04-19,Edge,33
2026-04-19,Firefox,102
2026-04-19,GoogleBot,73
2026-04-19,MobileSafari,77
2026-04-19,MobileSafariWebview,1
2026-04-19,Opera,11
2026-04-19,Safari,124
2026-04-19,SamsungInternet,1
2026-04-19,Unknown,153
2026-04-20,AppleBot,25
2026-04-20,BingBot,13
2026-04-20,Chrome,207
2026-04-20,ChromeMobile,22
2026-04-20,ChromeMobileWebview,19
2026-04-20,Curl,2
2026-04-20,Edge,28
2026-04-20,Firefox,55
2026-04-20,FirefoxMobile,3
2026-04-20,GoogleBot,46
2026-04-20,MobileSafari,55
2026-04-20,Opera,8
2026-04-20,OperaMobile,1
2026-04-20,Safari,38
2026-04-20,SamsungInternet,4
2026-04-20,Unknown,267
2026-04-21,AppleBot,25
2026-04-21,BingBot,13
2026-04-21,Chrome,179
2026-04-21,ChromeDerivative,1
2026-04-21,ChromeMobile,22
2026-04-21,ChromeMobileWebview,1
2026-04-21,Curl,1
2026-04-21,Edge,33
2026-04-21,Firefox,52
2026-04-21,FirefoxMobile,1
2026-04-21,GoogleBot,166
2026-04-21,MobileSafari,50
2026-04-21,Opera,31
2026-04-21,Safari,36
2026-04-21,Unknown,218
2026-04-22,AppleBot,8
2026-04-22,BingBot,35
2026-04-22,Chrome,185
2026-04-22,ChromeMobile,19
2026-04-22,Edge,13
2026-04-22,Firefox,39
2026-04-22,GoogleBot,85
2026-04-22,MobileSafari,47
2026-04-22,MobileSafariWebview,2
2026-04-22,Opera,24
2026-04-22,Safari,22
2026-04-22,TwitterBot,1
2026-04-22,Unknown,193
2026-04-22,YandexBot,3
2026-04-23,AppleBot,2
2026-04-23,BingBot,22
2026-04-23,Chrome,182
2026-04-23,ChromeMobile,24
2026-04-23,ChromeMobileWebview,69
2026-04-23,Edge,11
2026-04-23,Firefox,94
2026-04-23,GoogleBot,44
2026-04-23,MobileSafari,33
2026-04-23,Opera,13
2026-04-23,Safari,25
2026-04-23,UCBrowserMobile,1
2026-04-23,Unknown,195
2026-04-23,YandexBot,4
2026-04-25,BingBot,2
2026-04-25,Chrome,36
2026-04-25,Edge,8
2026-04-25,Firefox,8
2026-04-25,GoogleBot,3
2026-04-25,MobileSafari,2
2026-04-25,MobileSafariWebview,1
2026-04-25,Opera,14
2026-04-25,Safari,5
2026-04-25,Unknown,17
2026-04-26,BingBot,4
2026-04-26,Chrome,54
2026-04-26,ChromeMobile,10
2026-04-26,Edge,2
2026-04-26,Firefox,14
2026-04-26,GoogleBot,2
2026-04-26,MobileSafari,9
2026-04-26,Opera,13
2026-04-26,Safari,5
2026-04-26,Unknown,25
2026-04-27,BingBot,4
2026-04-27,Chrome,43
2026-04-27,ChromeHeadless,1
2026-04-27,ChromeMobile,1
2026-04-27,Edge,5
2026-04-27,Firefox,25
2026-04-27,GoogleBot,1
2026-04-27,MobileSafari,8
2026-04-27,Opera,4
2026-04-27,Safari,3
2026-04-27,Unknown,56
2026-04-28,BingBot,5
2026-04-28,Chrome,38
2026-04-28,Edge,3
2026-04-28,Firefox,5
2026-04-28,GoogleBot,1
2026-04-28,MobileSafari,6
2026-04-28,Safari,7
2026-04-28,Unknown,19
2026-04-29,BingBot,2
2026-04-29,Chrome,12
2026-04-29,Edge,2
2026-04-29,Firefox,5
2026-04-29,GoogleBot,1
2026-04-29,MobileSafari,6
2026-04-29,Opera,1
2026-04-29,Unknown,13
